code,name,date,close,pct_change,close_to_high,vol_ratio20,vol_ratio50,macd_hist,score,reasons
600279,重庆港,2026-06-04,5.64,0.0368,0.9758,2.778,4.128,0.1719,12.0,???????????????????20????????60???????????MACD?3???
605018,长华集团,2026-06-04,16.71,0.0569,0.9829,2.76,3.387,0.4005,12.0,???????????????????20????????60???????????MACD?3???
002815,崇达技术,2026-06-04,17.81,0.0483,0.9894,2.107,3.054,0.1768,12.0,?????????????????????20????????60???????????MACD????
600971,恒源煤电,2026-06-04,8.48,0.0405,0.9895,2.089,2.141,0.1581,12.0,?????????????????????20????????60???????????MACD????
002823,凯中精密,2026-06-04,20.85,0.06,0.9986,2.01,3.446,0.6012,12.0,?????????????????????20????????60???????????MACD????
600487,亨通光电,2026-06-04,97.87,0.0704,0.9887,1.512,1.511,3.5803,12.0,?????????????????????20????????60???????????MACD?3???
600255,鑫科材料,2026-06-04,4.83,0.1002,1.0,6.071,9.171,0.2116,11.0,??????????????20????????60???????????MACD?3???
603330,天洋新材,2026-06-04,9.41,0.1006,1.0,4.984,7.931,0.4657,11.0,??????????????20????????60???????????MACD?3???
600630,龙头股份,2026-06-04,8.32,0.031,1.0,2.194,2.512,0.0708,11.0,?????????????????????20??????????????MACD?3???
603733,仙鹤股份,2026-06-04,26.0,0.0228,0.9935,2.07,2.89,1.0345,11.0,???????????????????20????????60???????????MACD????
000983,山西焦煤,2026-06-04,7.78,0.0305,0.9861,1.858,1.879,0.2521,11.0,?????????????????????20????????60???????????MACD????
000700,模塑科技,2026-06-04,17.8,0.0736,0.9759,1.815,2.893,0.3799,11.0,???????????????????20????????60???????????MACD?3???
600360,华微电子,2026-06-04,13.71,0.0686,0.9751,1.702,3.282,0.2719,11.0,???????????????????20????????60???????????MACD?3???
003033,征和工业,2026-06-04,67.3,0.0397,0.997,1.593,1.662,2.2398,11.0,?????????????????????20????????60???????????MACD????
002137,实益达,2026-06-04,10.54,0.0135,0.9246,5.378,8.502,0.3547,10.0,????????????20????????60???????????MACD?3???
600439,瑞贝卡,2026-06-04,2.88,0.0992,1.0,3.888,4.962,0.0627,10.0,??????????????20????????60??????????????MACD?3???
002735,王子新材,2026-06-04,17.12,0.0581,0.9772,3.091,4.94,0.5922,10.0,???????????????????20???????????MACD????
002700,万憬能源,2026-06-04,8.3,0.0061,0.9811,2.646,3.991,0.2585,10.0,?????????????????20????????60???????????MACD????
600237,铜峰电子,2026-06-04,12.22,0.0999,1.0,2.506,3.854,0.43,10.0,??????????????20????????60???????????MACD????
601666,平煤股份,2026-06-04,9.22,0.1002,1.0,2.321,2.786,0.323,10.0,??????????????20????????60???????????MACD????
601001,晋控煤业,2026-06-04,22.69,0.037,0.9494,2.281,2.747,1.0672,10.0,??????????????20????????60???????????MACD????
600063,皖维高新,2026-06-04,7.47,0.0477,0.9855,2.27,2.923,0.2588,10.0,?????????????????????20??????????
601699,潞安环能,2026-06-04,19.3,0.0158,0.9767,2.251,2.555,0.8756,10.0,?????????????????20????????60???????????MACD????
603011,合锻智能,2026-06-04,32.26,0.0437,0.974,2.243,3.323,2.6997,10.0,???????????????????20????????60???????????MACD???????????
600985,淮北矿业,2026-06-04,16.58,0.0474,0.9529,2.122,2.506,0.6104,10.0,??????????????20????????60???????????MACD????
000937,冀中能源,2026-06-04,5.81,0.0229,0.9898,2.081,2.267,0.084,10.0,???????????????????20???????????MACD????
601231,环旭电子,2026-06-04,45.76,0.0491,0.9555,1.988,2.083,0.4686,10.0,??????????????20????????60???????????MACD?3???
002056,横店东磁,2026-06-04,29.42,0.0698,0.9729,1.98,2.808,1.5395,10.0,???????????????????20????????60???????????MACD????
000100,TCL科技,2026-06-04,4.92,0.038,0.9781,1.902,3.216,0.0951,10.0,???????????????????20????????60???????????MACD????
603319,美湖股份,2026-06-04,43.94,0.0315,0.9775,1.874,2.811,2.4186,10.0,???????????????????20????????60???????????MACD????
002106,莱宝高科,2026-06-04,12.83,0.0322,0.9915,1.871,2.741,0.2612,10.0,?????????????????????20???????????MACD????
600188,兖矿能源,2026-06-04,27.27,0.0501,0.9809,1.825,1.791,1.1615,10.0,???????????????????20????????60???????????MACD????
600179,安通控股,2026-06-04,4.59,0.0315,0.9871,1.798,1.879,0.0509,10.0,?????????????????????20???????????MACD????
002876,三利谱,2026-06-04,31.87,0.0257,0.9904,1.751,1.798,0.2332,10.0,???????????????????20????????60??????????????MACD?3???
600726,华电能源,2026-06-04,10.39,0.07,0.9728,1.719,1.606,0.4391,10.0,???????????????????20????????60???????????MACD????
002645,华宏科技,2026-06-04,36.1,0.0999,1.0,1.677,1.655,0.3052,10.0,??????????????20????????60???????????MACD?3???
600222,太龙药业,2026-06-04,8.7,0.0382,0.971,1.636,2.164,0.1353,10.0,???????????????????20????????60???????????MACD????
603683,晶华新材,2026-06-04,31.32,0.0162,0.9943,1.61,1.642,0.6827,10.0,???????????????????20????????60???????????MACD????
002859,洁美科技,2026-06-04,94.39,0.0884,0.9898,1.588,2.216,6.3434,10.0,?????????????????????20????????60???????????MACD???????????
603267,鸿远电子,2026-06-04,81.11,0.052,0.9849,1.523,2.633,3.5402,10.0,???????????????????20????????60???????????MACD????
605358,立昂微,2026-06-04,63.9,0.1,1.0,1.481,2.611,0.5103,10.0,??????????????20????????60???????????MACD?3???
003013,地铁设计,2026-06-04,15.43,0.0059,0.9948,1.47,1.911,0.1812,10.0,???????????????????20????????60???????????MACD????
000151,中成股份,2026-06-04,14.23,0.0267,0.9889,1.403,1.897,0.5284,10.0,???????????????????20????????60???????????MACD????
601208,东材科技,2026-06-04,59.6,0.0551,0.9851,1.227,1.545,0.4449,10.0,????????????????20????????60??????????????MACD?3???
603212,赛伍技术,2026-06-04,15.82,0.0044,0.9937,1.174,1.424,0.1352,10.0,??????????????20????????60???????????MACD?3???
000657,中钨高新,2026-06-04,74.33,0.0365,0.9936,1.136,1.201,1.9669,10.0,????????????????20????????60???????????MACD????
603386,骏亚科技,2026-06-04,17.24,0.0117,0.9937,0.981,1.685,0.1376,10.0,??????????????20????????60???????????MACD?3???
603065,宿迁联盛,2026-06-04,8.68,0.0346,0.9486,5.118,6.036,0.1169,9.0,??????????????20??????????????MACD?3???
002570,贝因美,2026-06-04,5.72,0.1,1.0,3.823,5.23,0.157,9.0,??????????????20???????????MACD????
600121,郑州煤电,2026-06-04,5.7,0.0018,0.912,3.312,3.563,0.3673,9.0,????????????20????????60???????????MACD????
603681,永冠新材,2026-06-04,26.6,0.0188,0.9262,3.283,5.049,0.8034,9.0,????????????20????????60???????????MACD????
600458,时代新材,2026-06-04,13.79,0.0782,0.9801,3.221,3.969,0.227,9.0,???????????????????20??????????
601137,博威合金,2026-06-04,23.3,0.0282,0.953,2.941,3.94,0.4407,9.0,????????????20????????60??????????????MACD?3???
600688,上海石化,2026-06-04,3.38,0.101,1.0,2.891,2.975,0.0812,9.0,??????????????20??????????????MACD?3???
002608,江苏国信,2026-06-04,10.5,0.0194,0.9554,2.623,4.473,0.5116,9.0,????????????20????????60???????????MACD????
601011,宝泰隆,2026-06-04,3.19,0.0357,0.9938,2.598,2.109,0.099,9.0,?????????????????????20??????MACD????
000733,振华科技,2026-06-04,59.31,0.1,1.0,2.424,4.116,2.007,9.0,??????????????20????????60??????????
002787,华源控股,2026-06-04,30.42,0.1002,1.0,2.226,2.223,-0.1544,9.0,??????????????20????????60??????????
002456,欧菲光,2026-06-04,10.05,0.0234,0.9834,1.993,2.695,0.2292,9.0,?????????????????20????????60???????????MACD????
000608,阳光股份,2026-06-04,5.02,0.0819,0.9843,1.959,2.61,0.2156,9.0,???????????????????20????????60??????????
600549,厦门钨业,2026-06-04,63.73,0.062,0.9961,1.941,1.882,2.4139,9.0,?????????????????????20??????????????MACD????
600925,苏能股份,2026-06-04,4.87,0.0125,0.9959,1.896,1.886,0.0623,9.0,???????????????????20???????????MACD????
600459,贵研铂业,2026-06-04,24.24,0.0017,0.9704,1.825,2.62,0.8385,9.0,?????????????????20????????60???????????MACD????
