theme,theme_cn,code,name,wc2022_return,preheat2022_return,close,pct_change,close_to_high,vol_ratio20,breakout20,ma_bull,macd_cross_today,macd_strong,score,reasons
display_tv,????/????,000100,TCL科技,-0.1198,0.11,4.92,0.038,0.9781,1.902,True,True,False,True,8,2022???;???;??;20???;????;MACD??
media_ads,????/????,000681,视觉中国,-0.2188,0.5494,23.2,0.0127,0.9944,1.569,True,False,False,True,7,2022???;???;???;??;20???;MACD??
travel_hotel,????/????,600029,南方航空,0.0838,0.0898,5.21,0.0019,0.9943,0.59,False,False,False,False,6,2022WC?;2022???;???;???
travel_hotel,????/????,000524,岭南控股,0.2428,0.2017,9.08,-0.0163,0.9816,0.914,False,False,False,False,5,2022WC?;2022???;???
snacks_food,????/????,605338,巴比食品,0.1068,0.1461,20.23,-0.0608,0.9409,1.741,False,False,False,False,5,2022WC?;2022???;??
media_ads,????/????,002027,分众传媒,0.0952,0.3371,5.44,-0.0109,0.9855,0.549,False,False,False,False,5,2022WC?;2022???;???
beer,????/????,600600,青岛啤酒,0.0821,0.2078,59.43,-0.0065,0.9885,0.719,False,False,False,False,5,2022WC?;2022???;???
beer,????/????,603156,养元饮品,0.0798,0.0921,41.38,0.0051,0.9859,0.402,False,False,False,False,5,2022WC?;2022???;???;???
beer,????/????,600132,重庆啤酒,0.1656,0.2354,50.63,-0.0245,0.9737,0.782,False,False,False,False,4,2022WC?;2022???
travel_hotel,????/????,601888,中国中免,0.1426,0.1898,55.59,-0.0256,0.9653,0.963,False,False,False,False,4,2022WC?;2022???
travel_hotel,????/????,600115,中国东航,0.1223,0.0563,3.97,-0.01,0.9827,1.023,False,False,False,False,4,2022WC?;2022???;???
media_ads,????/????,600088,中视传媒,0.0397,0.1481,14.07,0.0093,0.9784,0.468,False,False,False,False,4,2022WC?;2022???;???
snacks_food,????/????,002847,盐津铺子,0.0055,0.1773,56.68,0.005,0.9949,1.025,False,False,False,False,4,2022???;???;???
travel_hotel,????/????,601111,中国国航,0.1655,0.0124,6.5,-0.0015,0.9924,0.519,False,False,False,False,3,2022WC?;???
travel_hotel,????/????,600754,锦江酒店,0.1001,-0.0499,19.85,-0.0178,0.9759,0.709,False,False,False,True,3,2022WC?;MACD??
travel_hotel,????/????,600258,首旅酒店,0.0891,0.0428,12.94,-0.016,0.9715,0.869,False,False,False,False,3,2022WC?;2022???
snacks_food,????/????,002557,洽洽食品,0.0866,0.079,21.16,-0.0249,0.9702,0.815,False,False,False,False,3,2022WC?;2022???
snacks_food,????/????,603697,有友食品,0.075,0.1541,10.47,-0.043,0.9553,0.591,False,False,False,False,3,2022WC?;2022???
snacks_food,????/????,603536,惠发食品,0.0732,0.1582,8.93,-0.0272,0.9561,1.272,False,False,False,False,3,2022WC?;2022???
beer,????/????,002461,珠江啤酒,0.0632,0.1731,9.33,-0.0362,0.9569,1.364,False,False,False,False,3,2022WC?;2022???
beer,????/????,600573,惠泉啤酒,0.0411,0.1702,12.3,-0.0473,0.9283,1.114,False,False,False,False,3,2022WC?;2022???
snacks_food,????/????,603517,,0.0343,0.1748,12.65,-0.0409,0.9518,0.747,False,False,False,False,3,2022WC?;2022???
display_tv,????/????,600261,阳光照明,-0.0031,0.0386,3.39,-0.0202,0.9826,0.844,False,False,False,True,3,2022???;???;MACD??
sports_lottery,??/????,002229,鸿博股份,-0.1041,0.1731,13.73,-0.0365,0.9814,0.585,False,False,False,False,3,2022???;???
sports_lottery,??/????,000558,天府文旅,-0.128,0.1156,3.59,-0.0137,0.9809,0.86,False,False,False,False,3,2022???;???
beer,????/????,600059,古越龙山,0.0421,0.0667,8.0,-0.0184,0.9744,0.801,False,False,False,False,2,2022WC?;2022???
sports_lottery,??/????,002780,三夫户外,0.0287,0.1974,13.35,-0.0148,0.978,0.988,False,False,False,False,2,2022???
display_tv,????/????,002429,兆驰股份,0.0028,0.0377,12.23,0.0091,0.9645,0.814,False,False,False,False,2,2022???;???
media_ads,????/????,600637,东方明珠,0.0015,0.0846,9.1,-0.0236,0.9795,0.574,False,False,False,False,2,2022???
beer,????/????,000729,燕京啤酒,0.0,0.2579,11.9,-0.0182,0.9754,0.745,False,False,False,False,2,2022???
media_ads,????/????,601928,凤凰传媒,-0.0223,0.051,8.81,-0.0068,0.9866,0.632,False,False,False,False,2,2022???;???
media_ads,????/????,000917,电广传媒,-0.0364,0.1154,7.52,-0.0297,0.9754,0.926,False,False,False,False,2,2022???
display_tv,????/????,600060,海信视像,-0.0369,0.1878,25.02,-0.0016,0.9679,0.896,False,False,False,False,2,2022???
sports_lottery,??/????,002235,安妮股份,-0.0482,0.1407,10.1,-0.0223,0.9712,0.835,False,False,False,False,2,2022???
sports_lottery,??/????,002181,粤 传 媒,-0.0591,0.5013,15.33,-0.0291,0.9642,0.867,False,False,False,False,2,2022???
snacks_food,????/????,002991,甘源食品,-0.066,0.3404,43.56,-0.0612,0.9513,1.24,False,False,False,False,2,2022???
display_tv,????/????,000810,创维数字,-0.1594,0.0866,10.99,-0.0266,0.9683,0.721,False,False,False,False,2,2022???
sports_lottery,??/????,600158,中体产业,-0.2102,0.2558,9.65,-0.0233,0.9787,0.694,False,False,False,False,2,2022???
display_tv,????/????,600839,四川长虹,-0.0364,0.0577,7.02,-0.0277,0.971,1.012,False,False,False,False,1,2022???
sports_lottery,??/????,002400,省广集团,-0.0447,0.0694,7.61,-0.0416,0.967,0.908,False,False,False,False,1,2022???
media_ads,????/????,002400,省广集团,-0.0447,0.0694,7.61,-0.0416,0.967,0.908,False,False,False,False,1,2022???
sports_lottery,??/????,002899,英派斯,-0.0655,0.0709,26.61,-0.0056,0.9579,1.19,False,False,False,False,1,2022???
display_tv,????/????,002841,视源股份,-0.0747,0.0005,35.36,-0.0251,0.9773,0.715,False,False,False,False,0,
